"product_id","name","sku_code","price","quantity","is_available","category","added_on","last_update"
1,"keyboard-fantech Atom61","fan5874y",3000.99,20,True,"Accessories","2026-08-27","2026-08-27 10:52:28.242297"
2,"Wireless Mouse","WM123456",699.99,50,True,"Electronics","2026-08-27","2026-08-27 10:52:28.242297"
3,"Bluetooth Speaker","BS234567",1499.00,30,True,"Electronics","2026-08-27","2026-08-27 10:52:28.242297"
4,"Laptop Stand","LS345678",799.50,20,True,"Accessories","2026-08-27","2026-08-27 10:52:28.242297"
5,"USB-C Hub","UC456789",1299.99,15,True,"Accessories","2026-08-27","2026-08-27 10:52:28.242297"
6,"Notebook","NB567890",99.99,100,True,"Stationery","2026-08-27","2026-08-27 10:52:28.242297"
7,"Pen Set","PS678901",199.00,200,True,"Stationery","2026-08-27","2026-08-27 10:52:28.242297"
8,"Coffee Mug","CM789012",299.00,75,True,"Home & Kitchen","2026-08-27","2026-08-27 10:52:28.242297"
9,"LED Desk Lamp","DL890123",899.00,40,True,"Home & Kitchen","2026-08-27","2026-08-27 10:52:28.242297"
10,"Yoga Mat","YM901234",499.00,25,True,"Fitness","2026-08-27","2026-08-27 10:52:28.242297"
11,"Water Bottle","WB012345",349.00,60,True,"Fitness","2026-08-27","2026-08-27 10:52:28.242297"
